Gjuhë programuese ,H,1
Gjuhë Angleze ,M,1
Shkathtësitë e komunikimit ,M,1
Matematika 1 ,P,1
Fizika 1 ,M,2
Matematika 2 ,Mk,2
Qarqet digjitale ,E,2
Qarqet elektrike ,P,2
Fizika 2 ,H,3
Algoritmet dhe strukturat e të dhënave ,Mk,3
Bazat e elektroteknikës ,E,3
